IP地址,端口,TLS,国家,TCP延迟(ms),速度(MB/s)
104.24.57.50,443,TRUE,US,224.36,28.96
162.251.82.230,2053,TRUE,US,199.09,26.63
192.0.54.56,443,TRUE,US,218.69,26.21
104.25.222.95,443,TRUE,US,226.5,21.94
195.85.23.100,443,TRUE,US,215.33,21.57
104.24.91.178,443,TRUE,US,224.34,20.16
172.67.229.88,443,TRUE,US,224.59,19.39
104.25.35.46,443,TRUE,US,220.24,19.1
104.24.2.94,443,TRUE,US,225.97,16.81
193.227.99.211,443,TRUE,US,216.94,16.25
104.24.179.144,443,TRUE,US,221.17,15.61
195.85.59.244,443,TRUE,US,214.93,15.2
104.26.11.7,443,TRUE,US,73.76,14.63
104.24.187.35,443,TRUE,US,224.82,14.53
172.67.225.108,443,TRUE,US,224.19,14.43
172.64.229.63,8443,TRUE,US,59.93,6.12
104.26.1.252,8443,TRUE,SG,76.37,23.09
104.26.11.0,8443,TRUE,SG,74.97,21.18
162.159.153.198,8443,TRUE,SG,74.24,20.63
8.219.173.195,2083,TRUE,SG,71,20.48
8.222.134.170,8443,TRUE,SG,74,20.3
8.222.238.141,8443,TRUE,SG,80,18.5
8.222.227.191,8443,TRUE,SG,74,18
8.222.164.44,2087,TRUE,SG,70,17.9
8.222.131.102,8443,TRUE,SG,74,17.1
8.222.224.163,8443,TRUE,SG,74,16.8
8.222.184.198,2083,TRUE,SG,72,16.75
8.219.97.179,2096,TRUE,SG,73,16.7
8.222.221.197,2096,TRUE,SG,64,16.7
8.222.160.176,8443,TRUE,SG,74,16.6
8.222.144.219,8443,TRUE,SG,67,16.3
8.222.169.182,8443,TRUE,SG,70,16.1
8.222.129.32,2083,TRUE,SG,82,15.91
8.219.174.213,2096,TRUE,SG,73,15.7
8.222.168.155,2096,TRUE,SG,68,15.4
8.222.174.108,8443,TRUE,SG,77,15.4
8.222.249.190,2087,TRUE,SG,77,15.37
168.138.185.28,2087,TRUE,SG,207,15.31
8.219.179.34,2096,TRUE,SG,76,15
8.222.137.178,8443,TRUE,SG,70,15
8.222.224.162,2087,TRUE,SG,71,14.8
8.222.130.137,8443,TRUE,SG,69,14.6
8.222.219.252,2083,TRUE,SG,66,14.44
8.222.168.234,2087,TRUE,SG,73,14.42
8.219.6.187,2096,TRUE,SG,75,14.4
8.219.65.191,2087,TRUE,SG,89,14.4
8.222.150.197,8443,TRUE,SG,70,14.3
8.219.6.157,2083,TRUE,SG,71,14.11
8.222.202.163,2096,TRUE,SG,91,14.1
8.222.145.164,8443,TRUE,SG,75,13.7
8.222.145.110,2096,TRUE,SG,73,13.4
8.222.188.56,8443,TRUE,SG,78,13
8.222.129.245,2087,TRUE,SG,70,12.4
