IP地址,端口,机房,平均延迟,下载速度 (MB/s)
204.93.210.127,8443,SEA,211.52,85.54
27.50.48.250,2096,SEA,212.49,83.74
185.146.173.12,443,HKG,66.89,83.42
93.113.175.66,2083,SEA,211.53,80.89
91.195.110.131,2083,SEA,210.47,80
168.100.6.132,2087,SEA,210.24,79.7
188.42.145.66,2083,SEA,211.42,77.55
88.216.66.74,2053,SEA,210.4,77.35
23.227.60.223,443,HKG,75.52,73.39
77.74.228.97,2087,SEA,212.94,70.58
66.235.200.29,2087,HKG,78.61,69.83
185.176.26.94,443,SEA,213.18,68.86
77.74.228.97,8443,SEA,209.88,63.15
193.227.99.187,2053,SEA,213.47,58.1
185.146.173.12,2087,HKG,66.89,56.11
154.206.12.245,2087,SEA,210.05,54.1
88.216.66.74,443,SEA,213.11,49
154.197.88.176,8443,SEA,213.2,36.59
45.142.120.236,2087,SEA,212.75,35.08
185.146.173.12,2083,HKG,72.33,34.85
8.219.173.195,2095,SG,219,28.54
8.219.142.191,8880,SG,210,28.48
8.222.214.13,2082,SG,181,28.02
8.219.202.130,2086,SG,240,27.37
8.219.173.239,2086,SG,239,25.45
8.222.168.155,8880,SG,200,25.28
8.219.202.130,2095,SG,260,24.76
8.222.212.219,2086,SG,200,24.59
8.222.137.192,8080,SG,184,24.55
8.222.219.34,2086,SG,210,24.27
8.222.184.198,8880,SG,194,23.76
47.245.30.208,2082,JP,132,23.36
8.222.152.71,8080,SG,181,23
8.222.144.50,2086,SG,181,23
8.219.78.222,8080,SG,213,22.87
8.222.229.102,2095,SG,190,22.7
8.219.70.117,8080,SG,209,22.05
8.222.160.61,2086,SG,181,21.93
8.222.134.170,2082,SG,192,21.76
47.245.30.208,2052,JP,134,21.7
8.222.224.162,2086,SG,204,21.61
8.219.228.157,2086,SG,220,21.33
8.222.224.163,2052,SG,198,21.27
8.219.142.191,2095,SG,265,21.24
8.222.227.191,8080,SG,193,21.23
8.222.174.108,2082,SG,221,21.18
8.222.208.38,8080,SG,217,21.02
8.222.219.34,2095,SG,193,20.94
8.222.155.242,2086,SG,194,20.88
8.222.212.172,2086,SG,193,20.72
8.219.60.68,2095,SG,192,20.59
47.245.30.208,2095,JP,136,20.45
8.222.162.45,2082,SG,194,20.41
8.222.130.137,2086,SG,209,20.4
8.222.227.191,2052,SG,195,20.38
8.222.137.192,2095,SG,235,20.21
8.222.208.38,2086,SG,194,20.14
8.222.249.190,2086,SG,184,20.13
8.222.168.234,80,SG,199,19.96
8.218.18.132,2095,HK,133,19.95
8.219.73.21,8880,SG,189,19.87
8.219.42.72,2086,SG,168,19.84
8.222.144.50,2095,SG,192,19.76
8.222.190.225,2086,SG,193,19.75
8.222.240.47,2052,SG,183,19.74
8.222.255.15,2095,SG,179,19.66
8.222.229.102,2082,SG,185,19.57
8.222.187.107,80,SG,198,19.42
8.222.147.203,8080,SG,171,19.25
8.222.187.107,2086,SG,204,19.25
8.219.202.130,2052,SG,242,19.24
8.219.173.239,2052,SG,216,19.14
8.222.174.108,8880,SG,179,19.13
8.222.208.38,2052,SG,203,19.07
8.222.160.176,80,SG,203,19.07
8.222.134.170,2086,SG,185,18.96
8.222.175.78,2095,SG,211,18.95
8.222.249.190,2052,SG,220,18.94
8.222.221.197,2095,SG,183,18.88
8.219.70.117,8880,SG,191,18.86
47.245.30.208,8080,JP,128,18.84
8.219.92.89,2095,SG,208,18.82
8.222.144.219,2095,SG,184,18.74
8.219.222.8,2052,SG,239,18.71
8.219.173.195,8080,SG,239,18.68
8.222.180.86,2086,SG,178,18.64
8.222.255.15,8880,SG,223,18.63
8.222.215.228,2095,SG,196,18.61
8.222.184.198,2095,SG,186,18.6
8.222.219.34,8880,SG,222,18.43
8.222.168.155,2086,SG,185,18.38
8.219.42.72,2082,SG,196,18.3
8.222.175.78,2052,SG,200,18.29
8.222.154.50,8880,SG,180,18.27
8.219.202.130,8080,SG,209,18.24
8.219.173.239,8080,SG,250,18.2
8.222.244.192,2095,SG,196,18.2
8.222.224.163,2082,SG,202,18.15
8.222.144.219,2086,SG,193,18.12
8.222.137.192,2082,SG,205,18.08
8.222.167.8,8080,SG,211,18.08
8.222.137.192,2052,SG,186,18.07
8.222.188.56,8880,SG,178,18.07
8.222.237.131,2082,SG,208,18.05
8.222.212.116,2095,SG,177,17.98
8.222.131.102,80,SG,194,17.95
8.222.224.163,8080,SG,185,17.93
8.219.92.89,8080,SG,174,17.9
8.222.212.172,2082,SG,205,17.87
8.222.144.219,8880,SG,185,17.86
8.222.240.47,2095,SG,197,17.83
8.222.212.116,8080,SG,181,17.81
8.219.74.35,8880,SG,202,17.81
8.222.187.107,2095,SG,201,17.68
8.222.133.247,2082,SG,169,17.66
8.222.145.164,8880,SG,188,17.65
8.222.214.13,8080,SG,180,17.64
8.222.136.196,80,SG,182,17.59
8.222.140.185,2095,SG,180,17.58
8.219.73.21,2082,SG,194,17.56
8.222.150.197,80,SG,199,17.51
8.222.244.192,2086,SG,190,17.49
8.222.129.245,2082,SG,205,17.45
8.222.187.107,8880,SG,180,17.44
8.222.169.182,2082,SG,195,17.41
8.222.136.247,8080,SG,191,17.4
8.222.229.22,80,SG,222,17.39
8.222.146.222,2082,SG,208,17.39
8.222.147.203,8880,SG,189,17.37
8.222.134.170,8880,SG,193,17.37
8.219.74.35,80,SG,197,17.33
8.222.211.124,2086,SG,205,17.32
8.222.248.188,2086,SG,184,17.32
8.222.129.32,8080,SG,187,17.29
8.222.136.247,2052,SG,191,17.23
47.245.30.208,8880,JP,124,17.2
8.222.144.219,2052,SG,214,17.17
8.222.190.225,2052,SG,192,17.15
8.222.167.147,80,SG,195,17.1
8.219.92.89,2052,SG,202,17.05
8.222.134.170,2052,SG,198,17.04
8.222.215.228,2082,SG,183,17.03
8.219.55.31,8080,JP,366,17.02
8.219.78.222,8880,SG,192,16.98
8.222.146.222,8080,SG,192,16.91
8.219.92.89,80,SG,173,16.89
8.222.168.24,2095,SG,178,16.86
8.219.92.89,2082,SG,187,16.85
8.222.168.155,2052,SG,216,16.8
8.222.212.116,8880,SG,200,16.78
8.219.74.35,2086,SG,175,16.75
8.222.140.185,2086,SG,199,16.7
8.222.187.107,2052,SG,195,16.66
8.219.92.89,2086,SG,173,16.64
8.222.182.10,2082,SG,191,16.63
8.222.214.13,2095,SG,186,16.61
8.219.78.222,2086,SG,175,16.61
8.210.3.24,2052,HK,129,16.52
8.219.74.35,2082,SG,230,16.52
